,weekday,hour,ADX_14_0060_BTC,ATRr_14_0060_BTC,BBB_5_2.0_0060_BTC,BBL_5_2.0_0060_BTC,BBM_5_2.0_0060_BTC,BBP_5_2.0_0060_BTC,BBU_5_2.0_0060_BTC,DMN_14_0060_BTC,DMP_14_0060_BTC,MACD_12_26_9_0060_BTC,MACDh_12_26_9_0060_BTC,MACDs_12_26_9_0060_BTC,RSI_14_0060_BTC,close_0060_BTC,high_0060_BTC,low_0060_BTC,open_0060_BTC,ADX_14_1440_BTC,ATRr_14_1440_BTC,BBB_5_2.0_1440_BTC,BBL_5_2.0_1440_BTC,BBM_5_2.0_1440_BTC,BBP_5_2.0_1440_BTC,BBU_5_2.0_1440_BTC,DMN_14_1440_BTC,DMP_14_1440_BTC,MACD_12_26_9_1440_BTC,MACDh_12_26_9_1440_BTC,MACDs_12_26_9_1440_BTC,RSI_14_1440_BTC,close_1440_BTC,high_1440_BTC,low_1440_BTC,open_1440_BTC
2020-11-03 19:00:00,1,19,24.930531070508746,111.0525636317258,0.7623052016681594,13684.551410260765,13736.91,0.5411584805995036,13789.268589739237,14.513575395891497,23.273879806668457,47.295257174859216,31.56811221032143,15.727144964537786,60.72575691313459,13741.22,13780.0,13729.78,13731.49,55.67298650209248,494.3022409770577,3.823060498848585,13363.1160265494,13623.534000000003,0.3576058345410823,13883.951973450608,10.134980849044178,28.014284722566902,658.1538122334587,50.1566595928723,607.9971526405864,70.3905594225267,13549.37,13830.0,13195.05,13761.49
2020-11-03 20:00:00,1,20,24.60908262693778,106.88380908660255,0.3182389882519078,13702.408049192198,13724.246,0.431861738626694,13746.0839508078,14.83587445296505,22.454364579610896,49.60806831240916,27.1047386782971,22.50332963411206,58.937695344431,13721.27,13770.0,13717.31,13741.22,55.67298650209248,494.3022409770577,3.823060498848585,13363.1160265494,13623.534000000003,0.3576058345410823,13883.951973450608,10.134980849044178,28.014284722566902,658.1538122334587,50.1566595928723,607.9971526405864,70.3905594225267,13549.37,13830.0,13195.05,13761.49
2020-11-03 21:00:00,1,21,23.95244584897426,104.4871084375595,0.2499852351960067,13711.336393492762,13728.496,0.5913191103385217,13745.655606507236,15.630972762737567,21.32874481981137,51.6812044650469,23.342299864747872,28.33890460029903,59.60290901149981,13731.63,13768.13,13694.8,13721.27,55.67298650209248,494.3022409770577,3.823060498848585,13363.1160265494,13623.534000000003,0.3576058345410823,13883.951973450608,10.134980849044178,28.014284722566902,658.1538122334587,50.1566595928723,607.9971526405864,70.3905594225267,13549.37,13830.0,13195.05,13761.49
2020-11-03 22:00:00,1,22,23.4736343664992,100.72588640630524,0.1847154708647131,13719.03169991355,13731.713999999998,0.5491235813499029,13744.396300086446,15.05646211578891,21.333376311861063,52.82259370754036,19.586951285793063,33.2356424217473,59.69318513293663,13732.96,13779.25,13727.42,13731.64,55.67298650209248,494.3022409770577,3.823060498848585,13363.1160265494,13623.534000000003,0.3576058345410823,13883.951973450608,10.134980849044178,28.014284722566902,658.1538122334587,50.1566595928723,607.9971526405864,70.3905594225267,13549.37,13830.0,13195.05,13761.49
2020-11-03 23:00:00,1,23,21.858484109180903,107.45975166299772,1.091114139007993,13675.238517228245,13750.254,0.9928049335159194,13825.269482771757,18.251006925786463,18.56821585714295,60.39248449630395,21.725473659645317,38.66701083665863,65.40424067645223,13824.19,13845.0,13650.0,13732.96,55.67298650209248,494.3022409770577,3.823060498848585,13363.1160265494,13623.534000000003,0.3576058345410823,13883.951973450608,10.134980849044178,28.014284722566902,658.1538122334587,50.1566595928723,607.9971526405864,70.3905594225267,13549.37,13830.0,13195.05,13761.49
2020-11-04 00:00:00,2,0,22.487624773427054,117.06405511564076,3.320798891674939,13577.469364047647,13806.716,0.9728837112468316,14035.962635952354,15.556948537273891,29.318726520749472,81.53684355306905,34.295866173128324,47.24097737994072,74.05468348145628,14023.53,14066.11,13824.19,13824.19,55.37734717636698,514.7911665897731,5.078844370566249,13388.257034985472,13737.1,0.9105428928286852,14085.942965014528,9.036423455210295,28.254138687411203,672.3799601283772,51.50624599023263,620.8737141381446,75.14966647084684,14023.53,14066.11,13284.99,13549.63
2020-11-04 01:00:00,2,1,22.492566424643417,127.6701940359521,3.1024335606696947,13606.99618597147,13821.396,0.4376725205637482,14035.795814028528,15.77394309157155,24.96286710927658,78.91710385619808,25.340901181005883,53.5762026751922,56.566801377922225,13794.67,14044.55,13779.0,14023.53,55.37734717636698,514.7911665897731,5.078844370566249,13388.257034985472,13737.1,0.9105428928286852,14085.942965014528,9.036423455210295,28.254138687411203,672.3799601283772,51.50624599023263,620.8737141381446,75.14966647084684,14023.53,14066.11,13284.99,13549.63
2020-11-04 02:00:00,2,2,21.71861183758609,129.65946589052697,2.83779857728984,13641.171640665843,13837.512,0.435565973073988,14033.852359334154,18.0584087559274,22.824174107259548,77.36446330900617,19.03060850705117,58.333854801955,57.39716359532088,13812.21,13868.52,13713.0,13798.39,55.37734717636698,514.7911665897731,5.078844370566249,13388.257034985472,13737.1,0.9105428928286852,14085.942965014528,9.036423455210295,28.254138687411203,672.3799601283772,51.50624599023263,620.8737141381446,75.14966647084684,14023.53,14066.11,13284.99,13549.63
2020-11-04 03:00:00,2,3,20.85226726549974,132.74878975548933,2.7041281717816537,13654.9775045064,13842.132,0.2700509416752307,14029.286495493605,17.077781328877172,20.70065302864645,70.78715845512124,9.962642922532993,60.82451553258825,53.84804461922881,13756.06,13872.91,13700.0,13812.21,55.37734717636698,514.7911665897731,5.078844370566249,13388.257034985472,13737.1,0.9105428928286852,14085.942965014528,9.036423455210295,28.254138687411203,672.3799601283772,51.50624599023263,620.8737141381446,75.14966647084684,14023.53,14066.11,13284.99,13549.63
2020-11-04 04:00:00,2,4,20.769925163009997,137.47601905866867,2.752289774464769,13666.106410311775,13856.795999999998,0.6067546478718879,14047.48558968822,15.312651119771015,22.82570889606074,76.11106880087755,12.229242614631431,63.88182618624611,60.477951757472994,13897.51,13954.99,13756.06,13756.06,55.37734717636698,514.7911665897731,5.078844370566249,13388.257034985472,13737.1,0.9105428928286852,14085.942965014528,9.036423455210295,28.254138687411203,672.3799601283772,51.50624599023263,620.8737141381446,75.14966647084684,14023.53,14066.11,13284.99,13549.63
